FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00066	0.903019553156148	0.392855955508827	0.939767057419837	0.801177641236034	0.0149450278979686	0.15755402194291
K00067	0.679917950434701	0.0810234691922094	0.738456787398066	0.486368580305284	0.102285354872365	0.597040870509067
K00068	0.917260471031343	0.710229833875728	0.728801175492288	0.852064167799925	0.317032045272278	0.694720903937591
K00073	0.180162839883406	0.865197103037117	0.353085061807505	0.700716624919477	0.354479587663202	0.0207483482535376
K00074	0.585013611621326	0.0137484692425651	0.875024984709275	0.948046349349489	0.588532995690283	0.137005729863711
K00075	0.00814050361642053	0.00332158944080755	0.977167008083511	0.462885885309977	0.00264040605195919	1.27990294034105e-06
K00076	0.0260171098790849	0.764994721415997	0.53036770312652	0.680866242996208	0.102285354872365	0.0115157206259012
K00077	0.917260471031343	0.0246307448734374	0.643050211635822	0.867279013295269	0.0212658987373301	0.0204985076591553
K00078	0.00793495722181821	0.0030570890736242	0.947367433355464	0.607196946302348	0.00143910060700538	8.03633866469028e-07
K00079	0.250643557147152	0.710229833875728	0.568071228279463	0.906682627229737	0.717985205098806	0.973638694249305
K00082	0.00424311703981463	0.912876975973746	0.221265312866632	0.928982218724824	0.134318325842624	0.00304844389944709
K00085	0.896141513600048	0.96250974197441	0.862043353315559	0.918518987328029	0.626419922855393	0.813819036511632
K00086	0.951288700320745	0.117321764952035	0.840240757212324	0.345680974182769	0.0329859532987072	0.0402490860442806
K00087	0.00278717676958338	0.265941229734507	0.0261260073183579	0.810342285206467	0.481532667325771	6.65376940379156e-06
K00088	0.683866181470039	0.1933336649763	0.168947534539834	0.836545282501468	0.0825111663614613	0.733190611709633
K00090	0.610102627468307	0.341631687018284	0.948290473140718	0.549035731590609	0.204950299125517	0.50478581085042
K00091	0.324934452336441	0.431824435945203	0.471029013259023	0.84749759833737	0.0617051714348333	0.0145639508475918
K00093	0.914191382788127	0.709605476202892	0.978659181331581	0.642692853843657	0.99875262493998	0.806440682546106
K00094	0.846154568930531	0.60611622601743	0.0489840101296014	0.195697465345182	0.613493228005092	0.00154386770456639
K00096	0.0230072074836652	0.139233206816011	0.941518472165227	0.987825224454049	0.011504203498408	0.00148475805641725
K00097	0.0039398064208397	0.89778967222097	0.117176401012084	0.410208365784227	0.00702979877974709	1.27990294034105e-06
K00098	0.474102483435987	0.0473789557860409	0.402141370645326	0.393553436644	0.302202484254682	0.000683808191140434
K00099	0.951288700320745	0.0473752163928826	0.353544346951064	0.669170862676025	0.124016182244613	0.37173635393834
K00100	0.451316638877873	0.0699102315908499	0.372649152053021	0.931131721301634	0.0122424957781993	0.0360603549112939
K00101	0.0787238140993719	0.743164453010287	0.955268502173617	0.340847347413266	0.0535521101075017	0.00391868850432709
K00102	0.727396684319533	0.49161218531356	0.290244493912861	0.495478801322817	0.534410421295975	0.189461128121636
