FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00050	0.0292369916544642	-0.159131515328048	-0.0240380023584705	-0.0130983283256021	0.0774052521487241	-0.0179251204417864
K00052	-0.0360155173568679	-0.0563946383057998	0.0309727287513089	-0.0174478144117998	-0.055973641447174	-0.0269717765540665
K00053	-0.0606437624939127	-0.0684630191721539	0.0314329667194892	-0.0147522588128043	-0.0628256034020147	-0.0350503354322793
K00054	-0.0735623196401802	0.057864926797636	0.180251137577506	0.0468122769998803	-0.0965923903080941	0.0229547262853497
K00055	-0.0429391214535604	-0.107104145221672	0.199056992118405	0.0854516552699862	-0.0537163954400484	0.0161497970546221
K00057	-0.0231909184907252	-0.0436402754764969	0.0324619848754507	-0.0165346586559995	-0.0586844949362935	-0.0219176725368129
K00058	-0.0027158213945347	-0.0143528123992446	0.0777121693092274	-0.00132528755566126	-0.0476892281629736	0.00232580395936264
K00059	-0.00368481455080274	-0.0290817530681302	0.044560998189022	-0.0108673599783972	-0.0469734026097481	-0.00920926640361124
K00060	0.261599021539058	0.110385762588325	0.254770121374983	0.0432331273627293	0.15464794585919	0.164927195744857
K00064	0.579940085811494	0.243239525703396	0.226892708883144	0.146853888893736	0.306980120279091	0.300781265914172
K00065	0.00893414029961872	-0.0255358088873857	0.0420348575410821	0.012521080174059	0.0442744366611088	0.0164457411576966
K00066	0.025887185940573	0.278016850956818	-0.0366420770223441	-0.122889275932072	0.591561450940792	0.147186826976753
K00067	0.0149277481690811	-0.0379017812103496	0.0180385711574053	0.0223004921729651	-0.0350812265872984	-0.00354323925963931
K00068	-0.0144098074693302	-0.0579169130268459	0.0797590080486479	-0.0423164478559671	-0.0965913519977522	-0.0262951024602495
K00073	0.0999896500976829	0.0423853050517581	0.133314719142733	0.050133877860398	0.0825299807549208	0.0816707065814986
K00074	-0.0265025304727285	-0.0741816332647557	0.0154394417597097	0.00778731595304262	-0.0176859414730856	-0.0190286694995635
