FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00031	0.381379523662233	0.366388888888889	0.547437848807712	0.492233727810651	0.281746031746032	0.406586935405537
K00033	0.571914630374265	0.566388888888889	0.560375443937088	0.544378698224852	0.47912353347136	0.541276104905294
K00034	0.58181255799567	0.525555555555556	0.483764586504313	0.570636094674556	0.54951690821256	0.553138659543468
K00036	0.589545313949892	0.554722222222222	0.56544901065449	0.563979289940828	0.545721187025535	0.567769548324429
K00038	0.591091865140736	0.494583333333333	0.450532724505327	0.465976331360947	0.56383712905452	0.511455803788247
K00040	0.405196412001237	0.274722222222222	0.488330796549975	0.473002958579882	0.371463077984817	0.397055609519184
K00041	0.512836374884009	0.315	0.429731100963978	0.494822485207101	0.440821256038647	0.43428241864983
K00042	0.531704299412311	0.532222222222222	0.566717402333841	0.51405325443787	0.562974465148378	0.532618989800874
K00044	0.496906897618311	0.611666666666667	0.604642313546423	0.520340236686391	0.462732919254658	0.539843370568237
K00045	0.54840705227343	0.488611111111111	0.589041095890411	0.484837278106509	0.68719806763285	0.570792860611948
K00046	0.567274976801732	0.402222222222222	0.476154236428209	0.555843195266272	0.490855762594893	0.502871539582322
K00048	0.309619548407052	0.263055555555556	0.458396752917301	0.432322485207101	0.300379572118703	0.355700582807188
K00049	0.381070213424064	0.488611111111111	0.588533739218671	0.360207100591716	0.367667356797792	0.448306216610005
K00050	0.525827404887102	0.293333333333333	0.481988838153222	0.490754437869822	0.469806763285024	0.45498421563866
K00052	0.39344262295082	0.278888888888889	0.568239472349061	0.409023668639053	0.305210489993099	0.395744293346285
K00053	0.291988864831426	0.284444444444444	0.559107052257737	0.433801775147929	0.360420979986197	0.393619475473531
K00054	0.440767089390659	0.536111111111111	0.605530187721969	0.532174556213018	0.448412698412698	0.503964303059738
K00055	0.475719146303743	0.450416666666667	0.589041095890411	0.551405325443787	0.469979296066253	0.505433462846042
K00057	0.412929167955459	0.316666666666667	0.591831557584982	0.416789940828402	0.303140096618358	0.408189655172414
K00058	0.4791215589236	0.443333333333333	0.636225266362253	0.494082840236686	0.334195997239476	0.489564108790675
K00059	0.489019486545005	0.344444444444444	0.60908168442415	0.4375	0.285541752933057	0.427325157843613
K00060	0.688524590163934	0.576111111111111	0.639269406392694	0.537721893491124	0.614389233954451	0.60020033997086
K00064	0.679554593257037	0.591111111111111	0.559868087265348	0.542159763313609	0.60904071773637	0.596830985915493
K00065	0.508196721311475	0.444166666666667	0.556570268899036	0.520710059171598	0.558833678398896	0.529692812044682
K00066	0.510980513454995	0.580277777777778	0.487316083206494	0.467085798816568	0.671497584541063	0.542034968431277
K00067	0.532632230126817	0.365	0.540334855403349	0.577292899408284	0.386300897170462	0.469493686255464
K00068	0.490566037735849	0.459722222222222	0.541349568746829	0.47448224852071	0.427708764665286	0.472079893152016
K00073	0.594494277760594	0.521388888888889	0.590055809233891	0.54585798816568	0.567115251897861	0.548512627489072
K00074	0.457779152489947	0.3225	0.524099441907661	0.510355029585799	0.459109730848861	0.444214424477902
