species	fc	auroc	p.val	p.adj
K17095	-0.20543042242276488	0.3670896066051481	5.192187134614584e-7	9.695739121093666e-6
K17103	0.0348141569413163	0.5679516755706654	5.041234288833962e-4	0.002423143127956143
K17104	0.21194266689232594	0.5346163186012628	0.017433272553841528	0.038088899523704846
K17105	0.21992725375594152	0.544256920835357	0.006855848412129717	0.01795794340417909
K17108	0.05314565737028326	0.5442629917435649	0.08822220604437203	0.1416934482299575
K17195	0.010899436884129882	0.5001639145216125	0.7299629472731666	0.7897808006603622
K17202	0.04293388790097012	0.5139813016027198	0.1449750429035528	0.21436365544568073
K17203	0.02719206132047646	0.5040857212238951	0.31149011840221297	0.4011162228719448
K17204	0.04531252959171416	0.5071090335114133	0.23870382056709682	0.32273969170558464
K17205	0.009337234346440678	0.5125607090820786	0.6009267499447377	0.6792852292213571
K17206	0.0843724431864086	0.5416525012141816	0.019819336275255894	0.04213722506191133
K17208	0.02508146521804235	0.5031325886352598	0.94384259205214	0.9582028154608638
K17209	0.0887733776779459	0.5360611947547353	0.04275377084765197	0.07816020658580149
K17210	0.18102729756730718	0.5519609033511413	0.007026127818446026	0.018289544108553053
K17213	-0.03672575180126403	0.4415189412336085	0.01899841397270483	0.040769458633090616
K17214	0.09365780936199984	0.5785514813016027	2.1338979009910553e-4	0.0012309759102526355
K17215	0.09981591826343351	0.594578678970374	9.967089483087221e-6	1.0305363079717581e-4
K17218	0.17997767691814842	0.5836267605633803	5.457258906389484e-4	0.002565750271887018
K17228	0.013482947944993846	0.5071151044196212	0.6822787745912171	0.7494323820684435
K17229	0.01600093215534993	0.5228448275862069	0.4549481699015032	0.5448829707266574
K17230	-0.020827584717161268	0.5030597377367655	0.9417568453700623	0.9566690978060076
K17231	0.07769518975280164	0.5650072850898494	0.0013122434370145264	0.004943169188240247
K17234	-0.11681377161111403	0.4107151529868868	0.0029664253907995776	0.009287216618090713
K17235	-0.10456683231814856	0.4205985915492958	0.010775423494401706	0.0258004268179032
K17236	-0.08162528486633283	0.4329468188440991	0.05022454552817794	0.08898357676540213
K17237	0.03257507863590002	0.5015359397765906	0.8514012705844114	0.8879138439798897
K17238	-0.0249686802919207	0.483687469645459	0.65338527459	0.723810034725449
K17239	-0.010902586234058178	0.48541767848470135	0.5884538545095551	0.6676865515081316
K17240	0.06673535759126502	0.5531629431762991	0.023026850313109692	0.04755415219127404
K17241	0.15624453019932866	0.6015359397765906	1.1797738673990921e-4	7.827440463018997e-4
K17242	0.10928985584164291	0.5519973288003885	0.037626878317139845	0.070412095274723
K17243	0.044302619746475626	0.530287761049053	0.29796744843936085	0.3866141008538763
K17244	-0.126774325414883	0.4794621175327829	0.27891910721748514	0.3662597388436934
K17245	-0.05684974639819258	0.4745568237008256	0.4778770915241041	0.5667977132956983
K17246	-0.030560763285679766	0.4740225837785333	0.5033430451776012	0.5905743251309465
K17247	0.2969200170970803	0.5743018455560952	0.004661736570337194	0.013268019469421244
K17248	0.0030174148220009	0.499083292860612	0.8783744787710981	0.908761734767081
K17249	-0.008402992052833685	0.48649222923749397	0.8265711339762242	0.8673490793801428
K17250	0.05056611980099505	0.5108608547838757	0.3917021540653489	0.4826503462809558
K17255	-0.11947267215079088	0.45462603205439533	0.003815924275009444	0.01136618757617315
K17256	0.08919398538030303	0.5171017484215639	0.4012283405325703	0.49126850068286854
K17257	-0.060880791103496715	0.4968249150072851	0.9662668541305958	0.9757111988587065
K17261	-0.023577495473301326	0.48315930063137447	0.13505438885028956	0.20183311352696853
K17262	-0.00819310568365864	0.4835417678484702	0.1446565867941532	0.21401211604007597
K17265	-0.023393626230349403	0.48634045653229724	0.8501692533022303	0.8870036686054622
K17266	-0.035142358756076485	0.4899465760077708	0.5618785088701217	0.6440552648504061
K17267	-0.0852453306436967	0.4582928606119476	0.005049580794238208	0.014089587940429653
K17272	0.014789352180197028	0.5018698397280232	0.9972204258836895	0.9981952073305702
K17277	0.004860129562461477	0.5130099562894609	0.46829852314450116	0.5570980636480494
K17285	-0.039476840700910364	0.48625546381738705	0.05131570340390965	0.09049355366395506
K17286	0.026436677199582804	0.4965092277804759	0.5634744346779084	0.64541960084417
K17290	0.28338545322729525	0.5799356483729966	0.0022255843978304934	0.0074420024736198305
K17292	0.15563050351361124	0.5481726566294317	0.042864377397248354	0.07831559995294227
K17297	0.011653864375277663	0.5059373482272947	0.6509857142622746	0.7217548929555949
K17298	-0.23360136028150957	0.391130403108305	4.874651506825432e-5	3.830191136514864e-4
K17301	-0.036343093757144146	0.4701068479844585	0.02233238528703339	0.04645429724306873
K17302	-0.07292326904147393	0.4776833414278776	0.1395547000032413	0.20754489409717414
K17307	0.10157340205060768	0.5318661971830986	0.019427857522957614	0.041545324353528985
K17310	0.05895970755178453	0.513234579893152	0.23018068484149712	0.31359605204899976
K17313	0.09542990002953956	0.5475291403593977	0.012735559347430536	0.029511032510576733
K17314	-0.020215617029802867	0.48964303059737735	0.11275534716267702	0.1736633751895341
K17315	-0.11196303105840236	0.4553545410393395	0.19091556561497988	0.26967996775932207
K17316	-0.20550879110195988	0.44188926663428846	0.05180378468769278	0.09115220243100997
K17317	-0.19186885311398882	0.44369839728023314	0.05040056906624825	0.0892159605967968
K17318	-0.0787711896956134	0.39028047595920345	1.7637410836709326e-5	1.6703048000716987e-4
K17319	-0.07333046607369281	0.3970313258863526	8.012807957059674e-5	5.735226112345701e-4
K17320	-0.06403566666023369	0.40971952404079653	8.936187586092346e-4	0.003716015276913989
K17326	-0.004182407166313931	0.5078314715881497	0.6926048606494333	0.7582650395079501
K17327	-0.021911246722380182	0.49532540067994174	0.7625632592114072	0.8154578205439903
K17329	0.37817464542944	0.6570118989800874	6.166427368725635e-10	6.719716399755127e-8
K17331	0.18655921612472043	0.5646187469645458	0.002184309694523545	0.007331723046385992
K17339	-0.08582020066104726	0.4582442933462846	0.005175155460464602	0.014324412556713956
K17341	0.11473431038953062	0.5468795531811559	0.05264080235823454	0.09233904801758672
K17353	-0.1047991657575888	0.45497207382224386	0.07953052531651685	0.13044645956554463
K17360	-0.030466584840961753	0.44732272948033025	0.1474880035449438	0.2176736773994562
K17361	-0.014549753159514053	0.4745507527926178	0.004218629978102181	0.012315303293872605
K17362	-8.685955393481211e-4	0.5053545410393395	0.6284185770969739	0.7026099481105309
K17363	-0.09761796095358184	0.3978448275862069	2.1942675816686858e-5	1.9971851959009606e-4
K17382	-0.040580693710460504	0.44306095191840694	0.033750008184556486	0.06453877767022762
K17391	0.2316862221428413	0.5870750364254492	2.6567462059556846e-4	0.0014831169170791208
K17398	-0.14453187947227764	0.43883559980573095	0.01526133626105288	0.03426585660645658
K17426	-0.033899125969841515	0.48217581350169986	0.3874270063847172	0.4783457761586878
K17446	0.3306598543045814	0.6232576493443419	1.0465712136920047e-6	1.7095429168213342e-5
K17452	-0.3156760639490682	0.39820908207867894	8.405280622457728e-5	5.954052302017029e-4
K17462	-0.06826615071243729	0.4136534725594949	0.01136337622788614	0.02693553572492081
K17463	0.05915464621210889	0.5194936862554639	0.6194403375984394	0.6948178067675671
K17464	-0.057251398853195544	0.46574186498300146	0.28408266631007334	0.3713849811826842
K17465	-0.10067499730042195	0.4198943661971831	0.004912393834990576	0.013789023626446729
K17466	-0.0889650178253115	0.4310284118504128	0.01964770295212407	0.041925288890597365
K17467	-0.10726554747540275	0.4246175327829043	0.007065870427804165	0.018368954004307887
K17468	0.0026984692072398392	0.5070543953375425	0.9041316228407592	0.9287008496836886
K17472	-0.06898581527305256	0.4226019912578922	0.0029369267409080314	0.009233979046932952
K17473	-0.0072907514986970305	0.48655293831957264	0.930595990181783	0.9486475740684152
K17478	-0.09052698260431169	0.42554031083050026	0.015505084243582613	0.03465662971556609
K17487	0.0666534820856381	0.5299720738222439	0.5179388576132622	0.6046032366669855
K17488	0.1810842060356393	0.529874939290918	0.03369329386072173	0.06446131617653712
K17489	-0.07857814882159202	0.45197911607576496	0.028540550081924736	0.0565620517941483
K17491	0.011743982301080081	0.5033268576979116	0.7714870114484138	0.8227884670964113
K17495	0.005145763849581669	0.4905900922778048	0.7588222433116814	0.8133159452363817
K17496	-0.0108434237271242	0.4787032540067995	0.10029747914706834	0.15727704447367014
K17497	-0.21264706467635933	0.4390602234094221	0.005422492432167686	0.01485396945519764
K17498	-0.14749321747175156	0.442004613890238	0.007553507229705617	0.019389528884255627
K17501	-0.21829759017850156	0.42326372025254977	0.001271664621778559	0.004828683563841736
K17509	-0.2750500771651447	0.3925631374453618	1.2339365850520475e-5	1.2300708689334634e-4
K17513	-0.13250121758454733	0.46290675084992716	0.14592545675855886	0.21552859422843218
K17530	0	0.48620082564351624	0.01770319937055769	0.03856214430251546
K17541	-0.09218540672454505	0.461073336571151	0.01608647115427894	0.03574521732745502
K17544	-0.038004551906618805	0.46566294317629914	1.9938273060370043e-4	0.0011709931455935426
K17550	0.15150557401074466	0.5560709082078679	0.009055450969420509	0.022427183207266548
K17552	0.025871974725454702	0.5178606119475474	0.44082606354163834	0.5304449153643523
K17554	-0.0032367240358947983	0.5089970859640602	0.9598528903329784	0.9710835231589525
K17560	0.051988447685641453	0.5307734337056823	0.2341222077890326	0.317822894703371
K17561	-0.003938437866974673	0.485296260320544	0.19866047351112878	0.2781806137618429
K17563	0.390353606077567	0.6400983487129674	3.4341531840453854e-9	2.0540367352692512e-7
K17570	-0.13590238257511292	0.4659300631374454	0.21046272857087708	0.29177954091692704
K17576	-0.03674248871696486	0.4906386595434677	0.5659837404900496	0.6479206584542158
K17582	-0.10618510981214516	0.393655900922778	1.2554143684237798e-4	8.159167729420889e-4
K17583	0.10466350634684056	0.5463574550752792	0.10298908211839608	0.16089515872974094
K17585	0.02018527787522736	0.51378096163186	0.19484524514652124	0.2737054432527947
K17589	0.24020215621007995	0.5721345313258863	0.00408661150095968	0.012009233280433785
K17592	0.09496244567223194	0.5369414764448761	0.10561052593270048	0.1644415215883015
K17602	-0.09904408332384808	0.4729358912093249	0.19577591409181327	0.2747701828864457
K17605	-0.04486114813272372	0.46864983001457017	0.009789273349931531	0.02389495842243183
K17609	0.15180498013011917	0.6142727051966974	3.2106890035521474e-7	6.417344478205359e-6
K17616	-0.018606188298752182	0.4847195240407965	0.49436558570850175	0.582015426122707
K17617	0.02470012919999424	0.5145762506070909	0.3111078630483666	0.40085245392772206
K17618	0.08479874093640591	0.5230876639145216	0.19952360297267702	0.27902510970712746
K17623	-0.06697769885394594	0.3790857212238951	6.692608235030715e-6	7.562457174668939e-5
K17624	0.10707543002912531	0.5874028654686742	4.6663950568071044e-6	5.7285760303858816e-5
K17647	-0.10196366604506128	0.4110065565808645	9.684457633199255e-4	0.003956360231885944
K17648	0.10336617336784312	0.5580985915492958	0.0235548850489955	0.04843088926460564
K17675	-0.12825634014020545	0.3737676056338028	8.787216141371034e-7	1.4904542516973682e-5
K17677	-0.017398660295313676	0.4435405536668286	0.08533229413144361	0.13802732814469987
K17680	0.06287719637056187	0.5560526954832442	0.015370441813669089	0.03443822758809371
K17681	0.10186165066547556	0.5557066537153958	0.002227579744577435	0.007445544902568695
K17686	-0.011851847576297083	0.4561255463817387	0.27224183715676686	0.3591515447068127
K17703	0.03030574636491183	0.5111036911121903	0.4531449409405932	0.542968520135927
K17710	-0.07475834721652508	0.4619839728023313	0.004815444370825963	0.013617795936694111
K17713	0.10741054286054885	0.5720009713453132	0.005127533856767119	0.01423576976832358
K17716	0.08787280260181765	0.605882710053424	2.768952864107277e-6	3.771750005817361e-5
K17717	-0.13291418958963838	0.4634470616804274	0.08909419050605753	0.14289199303945316
K17722	-0.033098842404232505	0.46491622146673145	0.33585438492225045	0.42604395344546364
K17723	0.009069135177142919	0.4963149587178242	0.6716079691639523	0.739363602919906
K17724	0.1214218027270943	0.605190626517727	8.000951781150789e-5	5.735226112345701e-4
K17725	0.04163264754218078	0.541640359397766	0.06352888363116116	0.10787028159784141
K17732	0.056812125832052016	0.5787821758135017	5.424537571752097e-5	4.2099703788573594e-4
K17733	0.023553724464677264	0.5111401165614375	0.28836893415678944	0.37587659695514664
K17734	-0.01637325291999637	0.47207989315201554	0.46118091145825074	0.5506069564235907
K17735	0.08924362838418752	0.5356058766391453	0.07626425715933816	0.12615557614941464
K17736	-0.1906480888586542	0.4497753763963089	0.05157841462484149	0.09085613116488353
K17737	-0.13068726283010942	0.33724502185526956	8.494443047626353e-10	8.141360776369595e-8
K17739	0.3187990745021383	0.5817812044681885	0.0012697808800559152	0.004828444981283367
